time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2024/05/14/15:21:50.333168,60303,1715714510,332884788,map,74.10219601290828,-16.110197582211526,-3.0715725421905518,-0.003944019824335895,0.006321753764342241,-0.15151493623661033,0.9884268836055524
2024/05/14/15:21:50.353659,60304,1715714510,353418015,map,74.17163053065596,-16.13214923316683,-3.0715725421905518,-0.003943954550725306,0.006321794486816461,-0.1515251419382306,0.9884253191301645
2024/05/14/15:21:50.375766,60305,1715714510,373688348,map,74.24160732483192,-16.153941131446462,-3.1062138080596924,-0.0037978631212696886,0.005932174117145305,-0.15150882740072252,0.9884308072726256
2024/05/14/15:21:50.393578,60306,1715714510,393374418,map,74.31146619649952,-16.175708463304773,-3.1062138080596924,-0.0037979309105906833,0.005932130716901713,-0.15149753215622327,0.9884325385662546
2024/05/14/15:21:50.413254,60307,1715714510,413029294,map,74.38126353145542,-16.197465916112865,-3.1062138080596924,-0.003797989892354262,0.00593209295456535,-0.15148770436801923,0.9884340448260894
2024/05/14/15:21:50.433312,60308,1715714510,433004864,map,74.4510223404457,-16.2192196766606,-3.1062138080596924,-0.0037980436671638217,0.005932058525195599,-0.15147874411670484,0.9884354180353828
2024/05/14/15:21:50.453251,60309,1715714510,452975961,map,74.52016775420842,-16.241068976419797,-3.1190950870513916,-0.002171580067001888,0.007265459163688869,-0.151486639447428,0.98843021777568
2024/05/14/15:21:50.473846,60310,1715714510,473570596,map,74.59082478101095,-16.26338146228201,-3.1190950870513916,-0.0021715442190079993,0.007265469878233852,-0.15149151638639127,0.9884294703245674
2024/05/14/15:21:50.493207,60311,1715714510,492999226,map,74.6611446279012,-16.285581739254184,-3.1190950870513916,-0.002171508885741612,0.007265480438744275,-0.15149632328862442,0.9884287335833484
2024/05/14/15:21:50.513659,60312,1715714510,513439331,map,74.73132353051446,-16.307731921274776,-3.1190950870513916,-0.0021714771549682646,0.007265489922371473,-0.15150064008190658,0.9884280719394437
2024/05/14/15:21:50.535031,60313,1715714510,533414498,map,74.80143696042242,-16.329856180393,-3.1190950870513916,-0.002171448907304285,0.007265498364847213,-0.15150448301057357,0.9884274829095214
