time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.brake_pedal
2024/05/14/15:47:23.257036,119690,1715716043,255786829,,0.25200000405311584
2024/05/14/15:47:23.266072,119691,1715716043,265779418,,0.25200000405311584
2024/05/14/15:47:23.277365,119692,1715716043,275770793,,0.25200000405311584
2024/05/14/15:47:23.286251,119693,1715716043,285804625,,0.25200000405311584
2024/05/14/15:47:23.296149,119694,1715716043,295809501,,0.25200000405311584
2024/05/14/15:47:23.306840,119695,1715716043,305786097,,0.25200000405311584
2024/05/14/15:47:23.316101,119696,1715716043,315795090,,0.25200000405311584
2024/05/14/15:47:23.326110,119697,1715716043,325822326,,0.25200000405311584
2024/05/14/15:47:23.336081,119698,1715716043,335790357,,0.25200000405311584
2024/05/14/15:47:23.346190,119699,1715716043,345827970,,0.25200000405311584
2024/05/14/15:47:23.358022,119700,1715716043,355794076,,0.25200000405311584
2024/05/14/15:47:23.367403,119701,1715716043,365868110,,0.25200000405311584
2024/05/14/15:47:23.376080,119702,1715716043,375788450,,0.25200000405311584
2024/05/14/15:47:23.386238,119703,1715716043,385795132,,0.25200000405311584
2024/05/14/15:47:23.396141,119704,1715716043,395800468,,0.25200000405311584
2024/05/14/15:47:23.406148,119705,1715716043,405845198,,0.25200000405311584
2024/05/14/15:47:23.416111,119706,1715716043,415812771,,0.25200000405311584
2024/05/14/15:47:23.426129,119707,1715716043,425818190,,0.25200000405311584
2024/05/14/15:47:23.436128,119708,1715716043,435813335,,0.25200000405311584
2024/05/14/15:47:23.446266,119709,1715716043,445848485,,0.25200000405311584
2024/05/14/15:47:23.466341,119710,1715716043,455843742,,0.25200000405311584
2024/05/14/15:47:23.466359,119711,1715716043,465811966,,0.25200000405311584
2024/05/14/15:47:23.476193,119712,1715716043,475833462,,0.25200000405311584
2024/05/14/15:47:23.486299,119713,1715716043,485822942,,0.25200000405311584
2024/05/14/15:47:23.495978,119714,1715716043,495578266,,0.25200000405311584
2024/05/14/15:47:23.505918,119715,1715716043,505608163,,0.25200000405311584
2024/05/14/15:47:23.515907,119716,1715716043,515620166,,0.25200000405311584
2024/05/14/15:47:23.525982,119717,1715716043,525610531,,0.25200000405311584
2024/05/14/15:47:23.535893,119718,1715716043,535576368,,0.25200000405311584
2024/05/14/15:47:23.546013,119719,1715716043,545583616,,0.25200000405311584
2024/05/14/15:47:23.556061,119720,1715716043,555579562,,0.25200000405311584
2024/05/14/15:47:23.565923,119721,1715716043,565579967,,0.25200000405311584
2024/05/14/15:47:23.576019,119722,1715716043,575582608,,0.25200000405311584
2024/05/14/15:47:23.586016,119723,1715716043,585615668,,0.25200000405311584
2024/05/14/15:47:23.595969,119724,1715716043,595577785,,0.25200000405311584
2024/05/14/15:47:23.605968,119725,1715716043,605596723,,0.25200000405311584
2024/05/14/15:47:23.615948,119726,1715716043,615626043,,0.25200000405311584
2024/05/14/15:47:23.626088,119727,1715716043,625601925,,0.25200000405311584
2024/05/14/15:47:23.635925,119728,1715716043,635598951,,0.25200000405311584
2024/05/14/15:47:23.645995,119729,1715716043,645621590,,0.25200000405311584
2024/05/14/15:47:23.656069,119730,1715716043,655601655,,0.25200000405311584
2024/05/14/15:47:23.667285,119731,1715716043,665696697,,0.25200000405311584
2024/05/14/15:47:23.675946,119732,1715716043,675602821,,0.25200000405311584
2024/05/14/15:47:23.685938,119733,1715716043,685599539,,0.25200000405311584
2024/05/14/15:47:23.695928,119734,1715716043,695616116,,0.25200000405311584
2024/05/14/15:47:23.706012,119735,1715716043,705617502,,0.25200000405311584
2024/05/14/15:47:23.716065,119736,1715716043,715640629,,0.25200000405311584
2024/05/14/15:47:23.726087,119737,1715716043,725614845,,0.25200000405311584
2024/05/14/15:47:23.736025,119738,1715716043,735648999,,0.25200000405311584
2024/05/14/15:47:23.746120,119739,1715716043,745675897,,0.25200000405311584
2024/05/14/15:47:23.756162,119740,1715716043,755619457,,0.25200000405311584
2024/05/14/15:47:23.766133,119741,1715716043,765632364,,0.25200000405311584
2024/05/14/15:47:23.775932,119742,1715716043,775656448,,0.25200000405311584
2024/05/14/15:47:23.786067,119743,1715716043,785617574,,0.25200000405311584
2024/05/14/15:47:23.795911,119744,1715716043,795611082,,0.25200000405311584
2024/05/14/15:47:23.806189,119745,1715716043,805664862,,0.25200000405311584
2024/05/14/15:47:23.816137,119746,1715716043,815637916,,0.25200000405311584
2024/05/14/15:47:23.826056,119747,1715716043,825639328,,0.25200000405311584
2024/05/14/15:47:23.836009,119748,1715716043,835638487,,0.25200000405311584
2024/05/14/15:47:23.846072,119749,1715716043,845687950,,0.25200000405311584
2024/05/14/15:47:23.856222,119750,1715716043,855635871,,0.25200000405311584
2024/05/14/15:47:23.866021,119751,1715716043,865677229,,0.25200000405311584
2024/05/14/15:47:23.875955,119752,1715716043,875649982,,0.25200000405311584
2024/05/14/15:47:23.886040,119753,1715716043,885632918,,0.25200000405311584
2024/05/14/15:47:23.895999,119754,1715716043,895670081,,0.25200000405311584
2024/05/14/15:47:23.906014,119755,1715716043,905684320,,0.25200000405311584
2024/05/14/15:47:23.916029,119756,1715716043,915655678,,0.25200000405311584
2024/05/14/15:47:23.926013,119757,1715716043,925655985,,0.25200000405311584
2024/05/14/15:47:23.936120,119758,1715716043,935655631,,0.25200000405311584
2024/05/14/15:47:23.946000,119759,1715716043,945649026,,0.25200000405311584
2024/05/14/15:47:23.956188,119760,1715716043,955654458,,0.25200000405311584
2024/05/14/15:47:23.966044,119761,1715716043,965690539,,0.25200000405311584
2024/05/14/15:47:23.975979,119762,1715716043,975687158,,0.25200000405311584
2024/05/14/15:47:23.985960,119763,1715716043,985654038,,0.25200000405311584
2024/05/14/15:47:23.995964,119764,1715716043,995654444,,0.25200000405311584
2024/05/14/15:47:24.006339,119765,1715716044,5710438,,0.25200000405311584
2024/05/14/15:47:24.016062,119766,1715716044,15675680,,0.25200000405311584
2024/05/14/15:47:24.026029,119767,1715716044,25704757,,0.25200000405311584
2024/05/14/15:47:24.035999,119768,1715716044,35675285,,0.25200000405311584
2024/05/14/15:47:24.046106,119769,1715716044,45677499,,0.25200000405311584
2024/05/14/15:47:24.056190,119770,1715716044,55683089,,0.25200000405311584
2024/05/14/15:47:24.066073,119771,1715716044,65673888,,0.25200000405311584
2024/05/14/15:47:24.078211,119772,1715716044,75675757,,0.25200000405311584
2024/05/14/15:47:24.086135,119773,1715716044,85713918,,0.25200000405311584
2024/05/14/15:47:24.096042,119774,1715716044,95724929,,0.25200000405311584
2024/05/14/15:47:24.106039,119775,1715716044,105695403,,0.25200000405311584
2024/05/14/15:47:24.116087,119776,1715716044,115710069,,0.25200000405311584
2024/05/14/15:47:24.126105,119777,1715716044,125694858,,0.25200000405311584
2024/05/14/15:47:24.136151,119778,1715716044,135695403,,0.25200000405311584
2024/05/14/15:47:24.146097,119779,1715716044,145759463,,0.25200000405311584
2024/05/14/15:47:24.156478,119780,1715716044,155744860,,0.25200000405311584
2024/05/14/15:47:24.166195,119781,1715716044,165696750,,0.25200000405311584
2024/05/14/15:47:24.175999,119782,1715716044,175686828,,0.25200000405311584
2024/05/14/15:47:24.186116,119783,1715716044,185695632,,0.25200000405311584
2024/05/14/15:47:24.195987,119784,1715716044,195715494,,0.25200000405311584
2024/05/14/15:47:24.206016,119785,1715716044,205710795,,0.25200000405311584
2024/05/14/15:47:24.216007,119786,1715716044,215735812,,0.25200000405311584
2024/05/14/15:47:24.226028,119787,1715716044,225741368,,0.25200000405311584
2024/05/14/15:47:24.239990,119788,1715716044,235754429,,0.25200000405311584
2024/05/14/15:47:24.246308,119789,1715716044,245748526,,0.25200000405311584
2024/05/14/15:47:24.256105,119790,1715716044,255745914,,0.25200000405311584
2024/05/14/15:47:24.265963,119791,1715716044,265720885,,0.25200000405311584
2024/05/14/15:47:24.276189,119792,1715716044,275742310,,0.25200000405311584
2024/05/14/15:47:24.286055,119793,1715716044,285795098,,0.25200000405311584
2024/05/14/15:47:24.296100,119794,1715716044,295750509,,0.25200000405311584
2024/05/14/15:47:24.306072,119795,1715716044,305729893,,0.25200000405311584
